angle,vertical_angle,distance,x,y,z,isDetected
0,22.5,50,77.31998,24.23253,44.54935,False
1,22.5,50,76.71523,24.23253,43.97134,False
2,22.5,50,76.10046,24.23253,43.40399,False
3,22.5,50,75.4759,24.23253,42.84745,False
4,22.5,50,74.84172,24.23253,42.30189,False
5,22.5,50,74.19811,24.23253,41.76748,False
6,22.5,50,73.54527,24.23253,41.24439,False
7,22.5,50,72.88341,24.23253,40.73277,False
8,22.5,50,72.21272,24.23253,40.23278,False
9,22.5,50,71.5334,24.23253,39.74457,False
10,22.5,50,70.84566,24.23253,39.26829,False
11,22.5,50,70.14972,24.23253,38.80408,False
12,22.5,50,69.44579,24.23253,38.3521,False
13,22.5,50,68.73406,24.23253,37.91246,False
14,22.5,50,68.01478,24.23253,37.48532,False
15,22.5,50,67.28815,24.23253,37.07079,False
16,22.5,50,66.5544,24.23253,36.66901,False
17,22.5,50,65.81375,24.23253,36.28009,False
18,22.5,50,65.06642,24.23253,35.90416,False
19,22.5,50,64.31264,24.23253,35.54134,False
20,22.5,50,63.55265,24.23253,35.19172,False
21,22.5,50,62.78668,24.23253,34.85541,False
22,22.5,50,62.01495,24.23253,34.53253,False
23,22.5,50,61.2377,24.23253,34.22317,False
24,22.5,50,60.45517,24.23253,33.92741,False
25,22.5,50,59.6676,24.23253,33.64536,False
26,22.5,50,58.87523,24.23253,33.37709,False
27,22.5,50,58.07829,24.23253,33.1227,False
28,22.5,50,57.27704,24.23253,32.88226,False
29,22.5,50,56.47171,24.23253,32.65583,False
30,22.5,50,55.66256,24.23253,32.44349,False
31,22.5,50,54.84982,24.23253,32.24531,False
32,22.5,50,54.03374,24.23253,32.06134,False
33,22.5,50,53.21458,24.23253,31.89164,False
34,22.5,50,52.39259,24.23253,31.73627,False
35,22.5,50,51.568,24.23253,31.59526,False
36,22.5,50,50.74108,24.23253,31.46867,False
37,22.5,50,49.91208,24.23253,31.35653,False
38,22.5,50,49.08125,24.23253,31.25887,False
39,22.5,50,48.24883,24.23253,31.17573,False
40,22.5,50,47.4151,24.23253,31.10712,False
41,22.5,50,46.58029,24.23253,31.05308,False
42,22.5,50,45.74467,24.23253,31.01362,False
43,22.5,50,44.90849,24.23253,30.98875,False
44,22.5,50,44.072,24.23253,30.97847,False
45,22.5,50,43.23545,24.23253,30.98279,False
46,22.5,50,42.39912,24.23253,31.00172,False
47,22.5,50,41.56323,24.23253,31.03523,False
48,22.5,50,40.72807,24.23253,31.08333,False
49,22.5,50,39.89386,24.23253,31.146,False
50,22.5,50,39.06088,24.23253,31.22321,False
51,22.5,50,38.22938,24.23253,31.31495,False
52,22.5,50,37.39959,24.23253,31.42119,False
53,22.5,50,36.5718,24.23253,31.5419,False
