angle,vertical_angle,distance,x,y,z,isDetected
0,22.5,50,72.04639,0.6011785,12.49821,False
1,22.5,50,71.96902,0.6011785,11.62944,False
2,22.5,50,71.8765,0.6011788,10.76215,False
3,22.5,50,71.76886,0.6011788,9.896613,False
4,22.5,50,71.64613,0.6011788,9.033086,False
5,22.5,50,71.50835,0.6011785,8.17183,False
6,22.5,50,71.35556,0.6011785,7.313112,False
7,22.5,50,71.18781,0.6011788,6.457191,False
8,22.5,50,71.00513,0.6011788,5.604327,False
9,22.5,50,70.80762,0.6011784,4.754782,False
10,22.5,50,70.59529,0.6011789,3.908813,False
11,22.5,50,70.36824,0.6011789,3.066679,False
12,22.5,50,70.12653,0.6011785,2.228634,False
13,22.5,50,69.87022,0.6011788,1.394938,False
14,22.5,50,69.59941,0.6011788,0.5658388,False
15,22.5,50,69.31416,0.6011788,-0.2584057,False
16,22.5,50,69.01457,0.6011788,-1.077545,False
17,22.5,50,68.70074,0.6011791,-1.891335,False
18,22.5,50,68.37275,0.6011785,-2.699522,False
19,22.5,50,68.03071,0.6011785,-3.50186,False
20,22.5,50,67.67471,0.6011785,-4.298109,False
21,22.5,50,67.30487,0.6011785,-5.08802,False
22,22.5,50,66.92131,0.6011785,-5.871359,False
23,22.5,50,66.52412,0.6011782,-6.647882,False
24,22.5,50,66.11345,0.6011784,-7.41736,False
25,22.5,50,65.68941,0.6011782,-8.17955,False
26,22.5,50,65.25214,0.6011785,-8.934221,False
27,22.5,50,64.80176,0.6011789,-9.681152,False
28,22.5,50,64.33841,0.6011785,-10.42011,False
29,22.5,50,63.86224,0.6011789,-11.15086,False
30,22.5,50,63.37338,0.6011789,-11.87319,False
31,22.5,50,62.872,0.6011789,-12.58688,False
32,22.5,50,62.35823,0.6011791,-13.29172,False
33,22.5,50,61.83224,0.6011785,-13.98747,False
34,22.5,50,61.2942,0.6011788,-14.67394,False
35,22.5,50,60.74424,0.6011785,-15.35092,False
36,22.5,50,60.18257,0.6011788,-16.0182,False
37,22.5,50,59.60933,0.6011782,-16.67557,False
38,22.5,50,59.0247,0.6011784,-17.32284,False
39,22.5,50,58.42886,0.6011781,-17.95981,False
40,22.5,50,57.82201,0.6011789,-18.58628,False
41,22.5,50,57.20431,0.6011788,-19.20206,False
42,22.5,50,56.57595,0.6011785,-19.80697,False
43,22.5,50,55.93714,0.6011788,-20.40082,False
44,22.5,50,55.28806,0.6011788,-20.98344,False
45,22.5,50,54.6289,0.6011785,-21.55463,False
46,22.5,50,53.95989,0.6011795,-22.11423,False
47,22.5,50,53.2812,0.6011785,-22.66208,False
48,22.5,50,52.59306,0.6011785,-23.19799,False
49,22.5,50,51.89567,0.6011788,-23.72182,False
50,22.5,50,51.18925,0.6011785,-24.23339,False
51,22.5,50,50.47401,0.6011785,-24.73256,False
