angle,vertical_angle,distance,x,y,z,isDetected
0,22.5,50,63.37658,24.24942,0.3947716,False
1,22.5,50,62.77111,24.24942,-0.1823654,False
2,22.5,50,62.15566,24.24942,-0.7488441,False
3,22.5,50,61.53043,24.24942,-1.304501,False
4,22.5,50,60.89558,24.24942,-1.849159,False
5,22.5,50,60.25134,24.24942,-2.382652,False
6,22.5,50,59.59787,24.24942,-2.904823,False
7,22.5,50,58.9354,24.24942,-3.415508,False
8,22.5,50,58.26411,24.24942,-3.914555,False
9,22.5,50,57.58421,24.24942,-4.40181,False
10,22.5,50,56.89592,24.24943,-4.877125,False
11,22.5,50,56.19943,24.24942,-5.340359,False
12,22.5,50,55.49497,24.24942,-5.791363,False
13,22.5,50,54.78274,24.24942,-6.23,False
14,22.5,50,54.06297,24.24942,-6.656143,False
15,22.5,50,53.33586,24.24942,-7.069664,False
16,22.5,50,52.60165,24.24942,-7.470428,False
17,22.5,50,51.86057,24.24942,-7.858318,False
18,22.5,50,51.11282,24.24942,-8.233215,False
19,22.5,50,50.35864,24.24942,-8.595005,False
20,22.5,50,49.59826,24.24942,-8.943577,False
21,22.5,50,48.83192,24.24942,-9.278828,False
22,22.5,50,48.05984,24.24942,-9.600651,False
23,22.5,50,47.28226,24.24942,-9.908951,False
24,22.5,50,46.49943,24.24942,-10.20364,False
25,22.5,50,45.71156,24.24942,-10.48461,False
26,22.5,50,44.91892,24.24942,-10.75179,False
27,22.5,50,44.12173,24.24942,-11.0051,False
28,22.5,50,43.32024,24.24942,-11.24446,False
29,22.5,50,42.5147,24.24942,-11.46979,False
30,22.5,50,41.70535,24.24942,-11.68103,False
31,22.5,50,40.89243,24.24942,-11.87811,False
32,22.5,50,40.07619,24.24942,-12.06097,False
33,22.5,50,39.2569,24.24942,-12.22956,False
34,22.5,50,38.43478,24.24942,-12.38383,False
35,22.5,50,37.6101,24.24942,-12.52372,False
36,22.5,50,36.78309,24.24942,-12.64921,False
37,22.5,50,35.95403,24.24942,-12.76024,False
38,22.5,50,35.12316,24.24942,-12.85678,False
39,22.5,50,34.29072,24.24942,-12.93881,False
40,22.5,50,33.45699,24.24942,-13.00629,False
41,22.5,50,32.62219,24.24942,-13.05922,False
42,22.5,50,31.78661,24.24942,-13.09757,False
43,22.5,50,30.95048,24.24942,-13.12133,False
44,22.5,50,30.11407,24.24942,-13.13049,False
45,22.5,50,29.27761,24.24942,-13.12506,False
46,22.5,50,28.44139,24.24943,-13.10503,False
47,22.5,50,27.60564,24.24942,-13.07041,False
48,22.5,50,26.77062,24.24942,-13.0212,False
49,22.5,50,25.93659,24.24942,-12.95743,False
50,22.5,50,25.1038,24.24942,-12.87912,False
51,22.5,50,24.27251,24.24942,-12.78628,False
52,22.5,50,23.44295,24.24942,-12.67895,False
53,22.5,50,22.6154,24.24942,-12.55716,False
54,22.5,50,21.7901,24.24942,-12.42094,False
55,22.5,50,20.96731,24.24942,-12.27034,False
56,22.5,50,20.14726,24.24942,-12.1054,False
57,22.5,50,19.33022,24.24942,-11.92618,False
58,22.5,50,18.51644,24.24942,-11.73273,False
59,22.5,50,17.70615,24.24942,-11.52509,False
60,22.5,50,16.89961,24.24942,-11.30336,False
61,22.5,50,16.09706,24.24942,-11.06758,False
62,22.5,50,15.29875,24.24942,-10.81783,False
63,22.5,50,14.50493,24.24942,-10.55418,False
64,22.5,50,13.71581,24.24943,-10.27672,False
65,22.5,50,12.93167,24.24942,-9.985531,False
66,22.5,50,12.15272,24.24942,-9.680702,False
67,22.5,50,11.37922,24.24942,-9.362324,False
68,22.5,50,10.61139,24.24942,-9.030495,False
