angle,vertical_angle,distance,x,y,z,isDetected
0,22.5,50,30.24832,44.30833,49.33012,False
1,22.5,50,29.58691,44.30833,48.97558,False
2,22.5,50,28.91941,44.30833,48.63263,False
3,22.5,50,28.24604,44.30833,48.30139,False
4,22.5,50,27.56698,44.30833,47.98194,False
5,22.5,50,26.88245,44.30833,47.6744,False
6,22.5,50,26.19266,44.30833,47.37885,False
7,22.5,50,25.49781,44.30833,47.09538,False
8,22.5,50,24.79812,44.30833,46.82408,False
9,22.5,50,24.09381,44.30833,46.56504,False
10,22.5,50,23.38508,44.30833,46.31833,False
11,22.5,50,22.67215,44.30833,46.08402,False
12,22.5,50,21.95525,44.30833,45.86219,False
13,22.5,50,21.23458,44.30833,45.65291,False
14,22.5,50,20.51037,44.30833,45.45623,False
15,22.5,50,19.78283,44.30833,45.27223,False
16,22.5,50,19.0522,44.30833,45.10095,False
17,22.5,50,18.31868,44.30833,44.94245,False
18,22.5,50,17.58252,44.30833,44.79677,False
19,22.5,50,16.84392,44.30833,44.66396,False
20,22.5,50,16.10312,44.30833,44.54407,False
21,22.5,50,15.36034,44.30833,44.43712,False
22,22.5,50,14.6158,44.30833,44.34315,False
23,22.5,50,13.86974,44.30833,44.26219,False
24,22.5,50,13.12238,44.30833,44.19426,False
25,22.5,50,12.37394,44.30833,44.13939,False
26,22.5,50,11.62467,44.30833,44.09758,False
27,22.5,50,10.87477,44.30833,44.06886,False
28,22.5,50,10.12449,44.30833,44.05323,False
29,22.5,50,9.374057,44.30833,44.0507,False
30,22.5,50,8.623691,44.30833,44.06127,False
31,22.5,50,7.87362,44.30833,44.08493,False
32,22.5,50,7.124075,44.30833,44.12167,False
33,22.5,50,6.37529,44.30833,44.17149,False
34,22.5,50,5.627491,44.30833,44.23438,False
35,22.5,50,4.880899,44.30833,44.3103,False
36,22.5,50,4.135742,44.30833,44.39924,False
37,22.5,50,3.392257,44.30833,44.50117,False
38,22.5,50,2.650663,44.30833,44.61607,False
39,22.5,50,1.911182,44.30833,44.74389,False
40,22.5,50,1.174052,44.30833,44.88459,False
41,22.5,50,0.4394836,44.30833,45.03814,False
42,22.5,50,-0.2922878,44.30833,45.20448,False
43,22.5,50,-1.021046,44.30833,45.38357,False
44,22.5,50,-1.746569,44.30833,45.57535,False
45,22.5,50,-2.468639,44.30833,45.77977,False
46,22.5,50,-3.187024,44.30833,45.99675,False
47,22.5,50,-3.901519,44.30833,46.22625,False
48,22.5,50,-4.611893,44.30833,46.46817,False
49,22.5,50,-5.31794,44.30833,46.72245,False
50,22.5,50,-6.019443,44.30833,46.98902,False
51,22.5,50,-6.716182,44.30833,47.26779,False
52,22.5,50,-7.40796,44.30833,47.55868,False
53,22.5,50,-8.094544,44.30833,47.8616,False
54,22.5,50,-8.775741,44.30833,48.17645,False
55,22.5,50,-9.451339,44.30833,48.50314,False
56,22.5,50,-10.12114,44.30833,48.84158,False
57,22.5,50,-10.78493,44.30833,49.19165,False
58,22.5,50,-11.4425,44.30833,49.55326,False
59,22.5,50,-12.09366,44.30833,49.92628,False
60,22.5,50,-12.73822,44.30833,50.31062,False
61,22.5,50,-13.37597,44.30833,50.70614,False
62,22.5,50,-14.00672,44.30833,51.11274,False
63,22.5,50,-14.63027,44.30833,51.53027,False
64,22.5,50,-15.24645,44.30833,51.95863,False
65,22.5,50,-15.85506,44.30833,52.39769,False
66,22.5,50,-16.45591,44.30833,52.84729,False
67,22.5,50,-17.04882,44.30833,53.3073,False
68,22.5,50,-17.63361,44.30833,53.7776,False
69,22.5,50,-18.21011,44.30833,54.25804,False
70,22.5,50,-18.77813,44.30833,54.74846,False
71,22.5,50,-19.33752,44.30833,55.24872,False
72,22.5,50,-19.88808,44.30833,55.75866,False
73,22.5,50,-20.42965,44.30833,56.27813,False
74,22.5,50,-20.96208,44.30833,56.80698,False
75,22.5,50,-21.48521,44.30833,57.34505,False
76,22.5,50,-21.99886,44.30833,57.89215,False
77,22.5,50,-22.50288,44.30833,58.44815,False
78,22.5,50,-22.99712,44.30833,59.01285,False
79,22.5,50,-23.48142,44.30833,59.58608,False
80,22.5,50,-23.95566,44.30833,60.16769,False
81,22.5,50,-24.41967,44.30833,60.75748,False
82,22.5,50,-24.87332,44.30833,61.35529,False
83,22.5,50,-25.31647,44.30833,61.96092,False
84,22.5,50,-25.74897,44.30833,62.57419,False
85,22.5,50,-26.17071,44.30833,63.19491,False
86,22.5,50,-26.58156,44.30833,63.8229,False
87,22.5,50,-26.98138,44.30833,64.45796,False
88,22.5,50,-27.37005,44.30833,65.09991,False
89,22.5,50,-27.74746,44.30833,65.74855,False
90,22.5,50,-28.11349,44.30833,66.40367,False
91,22.5,50,-28.46804,44.30833,67.06507,False
92,22.5,50,-28.81099,44.30833,67.73257,False
93,22.5,50,-29.14224,44.30833,68.40594,False
94,22.5,50,-29.46169,44.30833,69.08501,False
95,22.5,50,-29.76923,44.30833,69.76954,False
96,22.5,50,-30.06478,44.30833,70.45934,False
97,22.5,50,-30.34824,44.30833,71.15417,False
98,22.5,50,-30.61953,44.30833,71.85385,False
99,22.5,50,-30.87858,44.30833,72.55817,False
100,22.5,50,-31.1253,44.30833,73.2669,False
101,22.5,50,-31.3596,44.30833,73.97983,False
102,22.5,50,-31.58143,44.30833,74.69673,False
103,22.5,50,-31.79072,44.30833,75.4174,False
104,22.5,50,-31.98738,44.30833,76.14162,False
105,22.5,50,-32.17139,44.30833,76.86916,False
106,22.5,50,-32.34268,44.30833,77.59979,False
107,22.5,50,-32.50117,44.30833,78.33331,False
108,22.5,50,-32.64685,44.30833,79.06947,False
109,22.5,50,-32.77966,44.30833,79.80807,False
110,22.5,50,-32.89956,44.30833,80.54887,False
111,22.5,50,-33.0065,44.30833,81.29164,False
112,22.5,50,-33.10047,44.30833,82.03618,False
113,22.5,50,-33.18143,44.30833,82.78225,False
114,22.5,50,-33.24936,44.30833,83.5296,False
115,22.5,50,-33.30424,44.30833,84.27805,False
116,22.5,50,-33.34604,44.30833,85.02732,False
117,22.5,50,-33.37476,44.30833,85.77721,False
118,22.5,50,-33.39039,44.30833,86.5275,False
119,22.5,50,-33.39292,44.30833,87.27792,False
120,22.5,50,-33.38235,44.30833,88.0283,False
121,22.5,50,-33.35869,44.30833,88.77836,False
122,22.5,50,-33.32195,44.30833,89.52791,False
123,22.5,50,-33.27213,44.30833,90.2767,False
124,22.5,50,-33.20925,44.30833,91.02449,False
125,22.5,50,-33.13332,44.30833,91.77109,False
126,22.5,50,-33.04438,44.30833,92.51624,False
127,22.5,50,-32.94244,44.30833,93.25973,False
128,22.5,50,-32.82756,44.30833,94.00133,False
129,22.5,50,-32.69975,44.30833,94.7408,False
130,22.5,50,-32.55904,44.30833,95.47794,False
131,22.5,50,-32.40549,44.30833,96.2125,False
132,22.5,50,-32.23914,44.30833,96.94427,False
133,22.5,50,-32.06005,44.30833,97.67303,False
134,22.5,50,-31.86827,44.30833,98.39854,False
135,22.5,50,-31.66385,44.30833,99.12062,False
136,22.5,50,-31.44688,44.30833,99.83901,False
137,22.5,50,-31.21738,44.30833,100.5535,False
138,22.5,50,-30.97546,44.30833,101.2639,False
139,22.5,50,-30.72117,44.30833,101.9699,False
140,22.5,50,-30.4546,44.30833,102.6714,False
141,22.5,50,-30.17583,44.30833,103.3682,False
142,22.5,50,-29.88494,44.30833,104.0599,False
143,22.5,50,-29.58203,44.30833,104.7465,False
144,22.5,50,-29.26717,44.30833,105.4277,False
145,22.5,50,-28.94047,44.30833,106.1033,False
