angle,vertical_angle,distance,x,y,z,isDetected
0,22.5,5.221828,59.14657,8.002197,46.92358,True
1,22.5,5.221824,59.23076,8.002197,46.92489,True
2,22.5,5.221824,59.31496,8.002197,46.92473,True
3,22.5,5.221822,59.39915,8.002197,46.9231,True
4,22.5,5.221824,59.48329,8.002197,46.92,True
5,22.5,5.221828,59.56738,8.002197,46.91544,True
6,22.5,5.221828,59.65136,8.002197,46.9094,True
7,22.5,5.221827,59.73523,8.002197,46.9019,True
8,22.5,5.221824,59.81895,8.002197,46.89294,True
9,22.5,5.221827,59.90251,8.002197,46.88252,True
10,22.5,5.221826,59.98587,8.002197,46.87064,True
11,22.5,5.221824,60.06901,8.002197,46.85731,True
12,22.5,5.22183,60.15191,8.002197,46.84253,True
13,22.5,5.221829,60.23453,8.002197,46.82631,True
14,22.5,5.221825,60.31686,8.002197,46.80864,True
15,22.5,5.221823,60.39887,8.002197,46.78954,True
16,22.5,5.221827,60.48053,8.002197,46.76902,True
17,22.5,5.221825,60.56182,8.002197,46.74707,True
18,22.5,5.221822,60.64272,8.002197,46.7237,True
19,22.5,5.221826,60.72319,8.002197,46.69893,True
20,22.5,5.221828,60.80323,8.002197,46.67276,True
21,22.5,5.221831,60.88279,8.002197,46.6452,True
22,22.5,5.221824,60.96186,8.002197,46.61624,True
23,22.5,5.221824,61.04042,8.002197,46.58591,True
24,22.5,5.221827,61.11843,8.002197,46.55423,True
25,22.5,5.221823,61.19587,8.002197,46.52118,True
26,22.5,5.221827,61.27273,8.002197,46.48678,True
27,22.5,5.221823,61.34897,8.002197,46.45105,True
28,22.5,5.221827,61.42459,8.002197,46.41399,True
29,22.5,5.221824,61.49954,8.002197,46.37562,True
30,22.5,5.221828,61.57381,8.002197,46.33595,True
31,22.5,5.221824,61.64738,8.002197,46.29499,True
32,22.5,5.221824,61.72022,8.002197,46.25275,True
33,22.5,5.221826,61.79232,8.002197,46.20924,True
34,22.5,5.221823,61.86364,8.002197,46.16448,True
35,22.5,5.22183,61.93417,8.002197,46.11849,True
36,22.5,5.221821,62.00388,8.002197,46.07127,True
37,22.5,5.221828,62.07277,8.002197,46.02284,True
38,22.5,5.221825,62.14079,8.002197,45.97322,True
39,22.5,5.221826,62.20795,8.002197,45.92242,True
40,22.5,5.221826,62.2742,8.002197,45.87045,True
41,22.5,5.221824,62.33953,8.002197,45.81733,True
42,22.5,5.221822,62.40394,8.002197,45.76308,True
43,22.5,5.221829,62.46738,8.002197,45.70773,True
44,22.5,5.221824,62.52985,8.002197,45.65126,True
45,22.5,5.221828,62.59132,8.002197,45.59372,True
46,22.5,5.221824,62.65178,8.002197,45.53511,True
47,22.5,5.221828,62.71121,8.002197,45.47546,True
48,22.5,5.221828,62.76958,8.002197,45.41478,True
49,22.5,5.221826,62.82689,8.002197,45.35308,True
50,22.5,5.221828,62.88312,8.002197,45.2904,True
51,22.5,5.221828,62.93824,8.002197,45.22675,True
52,22.5,5.221828,62.99224,8.002197,45.16214,True
53,22.5,5.221824,63.0451,8.002197,45.0966,True
54,22.5,5.221826,63.09682,8.002197,45.03014,True
55,22.5,5.221829,63.14737,8.002197,44.9628,True
56,22.5,5.221824,63.19673,8.002197,44.89458,True
57,22.5,5.221827,63.24489,8.002197,44.82552,True
58,22.5,5.221824,63.29184,8.002197,44.75562,True
59,22.5,5.22182,63.33757,8.002197,44.68491,True
60,22.5,5.221826,63.38206,8.002197,44.61342,True
61,22.5,5.221828,63.42529,8.002197,44.54116,True
62,22.5,5.221825,63.46725,8.002197,44.46816,True
63,22.5,5.221825,63.50793,8.002197,44.39444,True
64,22.5,5.221825,63.54732,8.002197,44.32002,True
65,22.5,5.221827,63.58541,8.002197,44.24492,True
66,22.5,5.221829,63.62217,8.002197,44.16917,True
67,22.5,5.221826,63.65761,8.002197,44.09278,True
68,22.5,5.221824,63.69171,8.002197,44.0158,True
69,22.5,5.221826,63.72447,8.002197,43.93822,True
70,22.5,5.221827,63.75586,8.002197,43.86009,True
71,22.5,5.221822,63.78588,8.002197,43.78143,True
72,22.5,5.221822,63.81453,8.002197,43.70225,True
73,22.5,5.221828,63.8418,8.002197,43.62258,True
74,22.5,5.221828,63.86766,8.002197,43.54245,True
75,22.5,5.221826,63.89213,8.002197,43.46188,True
76,22.5,5.20843,63.90325,8.00732,43.37761,True
77,22.5,5.184313,63.90325,8.016547,43.2909,True
78,22.5,5.161984,63.90325,8.02509,43.20497,True
79,22.5,5.141406,63.90325,8.032963,43.11975,True
80,22.5,5.122545,63.90325,8.040179,43.03518,True
81,22.5,5.105372,63.90325,8.046749,42.95121,True
82,22.5,5.089859,63.90325,8.052684,42.86777,True
