angle,vertical_angle,distance,x,y,z,isDetected
0,22.5,22.66253,159.32,8.765985,106.0761,True
1,22.5,22.16069,158.8708,8.793312,105.6268,True
2,22.5,21.68706,158.4409,8.819102,105.1969,True
3,22.5,21.23957,158.0289,8.843468,104.7849,True
4,22.5,20.8164,157.6334,8.86651,104.3894,True
5,22.5,20.41586,157.2532,8.888321,104.0093,True
6,22.5,20.03643,156.8873,8.908981,103.6434,True
7,22.5,19.67672,156.5347,8.928568,103.2907,True
8,22.5,19.33549,156.1944,8.947148,102.9504,True
9,22.5,19.01159,155.8655,8.964786,102.6216,True
10,22.5,18.70397,155.5474,8.981537,102.3035,True
11,22.5,18.41166,155.2394,8.997453,101.9954,True
12,22.5,18.13378,154.9408,9.012584,101.6968,True
13,22.5,17.86953,154.6509,9.026973,101.4069,True
14,22.5,17.61816,154.3693,9.04066,101.1253,True
15,22.5,17.37898,154.0954,9.053684,100.8514,True
16,22.5,17.15137,153.8288,9.066078,100.5848,True
17,22.5,16.93473,153.569,9.077874,100.325,True
18,22.5,16.72853,153.3156,9.089102,100.0716,True
19,22.5,16.53227,153.0682,9.099789,99.8242,True
20,22.5,16.34548,152.8264,9.109961,99.58247,True
21,22.5,16.16773,152.5901,9.119638,99.34608,True
22,22.5,15.99863,152.3587,9.128847,99.11471,True
23,22.5,15.8378,152.132,9.137604,98.88806,True
24,22.5,15.6849,151.9098,9.145929,98.66585,True
25,22.5,15.53962,151.6918,9.153841,98.44783,True
26,22.5,15.40165,151.4777,9.161353,98.23374,True
27,22.5,15.27072,151.2673,9.168483,98.02335,True
28,22.5,15.79107,151.6635,9.140148,97.59177,True
29,22.5,16.21507,151.9592,9.117062,97.18002,True
30,22.5,15.52719,151.2188,9.154517,97.18002,True
31,22.5,14.89966,150.5384,9.188687,97.18002,True
32,22.5,14.32507,149.9107,9.219975,97.18002,True
33,22.5,13.79721,149.3295,9.248718,97.18002,True
34,22.5,13.31077,148.7894,9.275205,97.18002,True
